CODE,COUNTRY,LATITUDE,LONGITUDE
AFG,Afghanistan,33,65
ALB,Albania,41,20
DZA,Algeria,28,3
AND,Andorra,42.5,1.6
AGO,Angola,-12.5,18.5
ATG,Antigua and Barbuda,17.05,-61.8
ARG,Argentina,-34,-64
ARM,Armenia,40,45
AUS,Australia,-27,133
AUT,Austria,47.3333,13.3333
AZE,Azerbaijan,40.5,47.5
BHS,Bahamas,24.25,-76
BHR,Bahrain,26,50.55
BGD,Bangladesh,24,90
BRB,Barbados,13.1667,-59.5333
BLR,Belarus,53,28
BEL,Belgium,50.8333,4
BLZ,Belize,17.25,-88.75
BEN,Benin,9.5,2.25
BTN,Bhutan,27.5,90.5
BOL,Bolivia,-17,-65
BIH,Bosnia and Herzegovina,44,18
BWA,Botswana,-22,24
BRA,Brazil,-10,-55
BRN,Brunei,4.5,114.6667
BGR,Bulgaria,43,25
BFA,Burkina Faso,13,-2
BDI,Burundi,-3.5,30
KHM,Cambodia,13,105
CMR,Cameroon,6,12
CAN,Canada,60,-95
CPV,Cape Verde,16,-24
CAF,Central African Republic,7,21
TCD,Chad,15,19
CHL,Chile,-30,-71
CHN,China,35,105
COL,Colombia,4,-72
COM,Comoros,-12.1667,44.25
COK,Cook Islands,-21.2333,-159.767
CRI,Costa Rica,10,-84
CIV,Côte d'Ivoire,8,-5
ISO,Country,,
HRV,Croatia,45.1667,15.5
CUB,Cuba,21.5,-80
CYP,Cyprus,35,33
CZE,Czech Republic,49.75,15.5
COD,Democratic Republic of the Congo,0,25
DNK,Denmark,56,10
DJI,Djibouti,11.5,43
DMA,Dominica,15.4167,-61.3333
DOM,Dominican Republic,19,-70.6667
ECU,Ecuador,-2,-77.5
EGY,Egypt,27,30
SLV,El Salvador,13.8333,-88.9167
GNQ,Equatorial Guinea,2,10
ERI,Eritrea,15,39
EST,Estonia,59,26
SWZ,Eswatini,-26.5,31.5
ETH,Ethiopia,8,38
EUU,European Union (27),,
FJI,Fiji,-18,175
FIN,Finland,64,26
FRA,France,46,2
GAB,Gabon,-1,11.75
GMB,Gambia,13.4667,-16.5667
GEO,Georgia,42,43.5
DEU,Germany,51,9
GHA,Ghana,8,-2
GRC,Greece,39,22
GRD,Grenada,12.1167,-61.6667
GTM,Guatemala,15.5,-90.25
GIN,Guinea,11,-10
GNB,Guinea-Bissau,12,-15
GUY,Guyana,5,-59
HTI,Haiti,19,-72.4167
HND,Honduras,15,-86.5
HUN,Hungary,47,20
ISL,Iceland,65,-18
IND,India,20,77
IDN,Indonesia,-5,120
IRN,Iran,32,53
IRQ,Iraq,33,44
IRL,Ireland,53,-8
ISR,Israel,31.5,34.75
ITA,Italy,42.8333,12.8333
JAM,Jamaica,18.25,-77.5
JPN,Japan,36,138
JOR,Jordan,31,36
KAZ,Kazakhstan,48,68
KEN,Kenya,1,38
KIR,Kiribati,1.4167,173
KWT,Kuwait,29.3375,47.6581
KGZ,Kyrgyzstan,41,75
